time,nph_area
1992-10-01T00:00:00Z,0.031821102
1992-11-01T00:00:00Z,1.908279
1992-12-01T00:00:00Z,5.405759
1993-01-01T00:00:00Z,0.0112273395
1993-02-01T00:00:00Z,0.0
1993-03-01T00:00:00Z,2.577487
1993-04-01T00:00:00Z,4.572651
1993-05-01T00:00:00Z,1.3296598
1993-06-01T00:00:00Z,4.1963096
1993-07-01T00:00:00Z,4.8465548
1993-08-01T00:00:00Z,4.446112
1993-09-01T00:00:00Z,2.2930188
1993-10-01T00:00:00Z,0.15409333
1993-11-01T00:00:00Z,3.7516274
1993-12-01T00:00:00Z,4.2744665
1994-01-01T00:00:00Z,1.850785
1994-02-01T00:00:00Z,2.2959328
1994-03-01T00:00:00Z,4.7217574
1994-04-01T00:00:00Z,5.516005
1994-05-01T00:00:00Z,5.643215
1994-06-01T00:00:00Z,5.74179
1994-07-01T00:00:00Z,5.08247
1994-08-01T00:00:00Z,4.853896
1994-09-01T00:00:00Z,3.4612377
1994-10-01T00:00:00Z,2.0239267
1994-11-01T00:00:00Z,6.602411
1994-12-01T00:00:00Z,4.4849105
1995-01-01T00:00:00Z,0.045416124
1995-02-01T00:00:00Z,0.07338581
1995-03-01T00:00:00Z,0.0
1995-04-01T00:00:00Z,4.229195
1995-05-01T00:00:00Z,4.367308
1995-06-01T00:00:00Z,4.9345055
1995-07-01T00:00:00Z,4.7105093
1995-08-01T00:00:00Z,4.3386235
1995-09-01T00:00:00Z,0.03056622
1995-10-01T00:00:00Z,4.2147655
1995-11-01T00:00:00Z,1.9557289
1995-12-01T00:00:00Z,1.903634
1996-01-01T00:00:00Z,1.8495392
1996-02-01T00:00:00Z,0.0670903
1996-03-01T00:00:00Z,0.36094207
1996-04-01T00:00:00Z,3.4984376
1996-05-01T00:00:00Z,2.926486
1996-06-01T00:00:00Z,5.867659
1996-07-01T00:00:00Z,5.3192396
1996-08-01T00:00:00Z,4.193387
1996-09-01T00:00:00Z,2.1789882
1996-10-01T00:00:00Z,2.6923532
1996-11-01T00:00:00Z,1.4717476
1996-12-01T00:00:00Z,0.21776098
1997-01-01T00:00:00Z,1.0281415
1997-02-01T00:00:00Z,4.8325505
1997-03-01T00:00:00Z,4.9691358
1997-04-01T00:00:00Z,3.7291563
1997-05-01T00:00:00Z,0.0
1997-06-01T00:00:00Z,4.834617
1997-07-01T00:00:00Z,4.9551063
1997-08-01T00:00:00Z,3.3841891
1997-09-01T00:00:00Z,1.1547731
1997-10-01T00:00:00Z,2.7972486
1997-11-01T00:00:00Z,0.2828137
1997-12-01T00:00:00Z,3.880156
1998-01-01T00:00:00Z,0.0
1998-02-01T00:00:00Z,1.5903881
1998-03-01T00:00:00Z,2.8940394
1998-04-01T00:00:00Z,7.3028173
1998-05-01T00:00:00Z,6.334809
1998-06-01T00:00:00Z,6.1379843
1998-07-01T00:00:00Z,5.718877
1998-08-01T00:00:00Z,5.4719067
1998-09-01T00:00:00Z,3.582286
1998-10-01T00:00:00Z,4.9199476
1998-11-01T00:00:00Z,4.4932218
1998-12-01T00:00:00Z,6.924567
1999-01-01T00:00:00Z,4.841692
1999-02-01T00:00:00Z,5.594856
1999-03-01T00:00:00Z,5.7849026
1999-04-01T00:00:00Z,7.665317
1999-05-01T00:00:00Z,6.6716447
1999-06-01T00:00:00Z,5.6029224
1999-07-01T00:00:00Z,5.4485345
1999-08-01T00:00:00Z,5.0110235
1999-09-01T00:00:00Z,3.9222543
1999-10-01T00:00:00Z,3.6342864
1999-11-01T00:00:00Z,2.8612323
1999-12-01T00:00:00Z,4.7392926
2000-01-01T00:00:00Z,5.006722
2000-02-01T00:00:00Z,3.2510006
2000-03-01T00:00:00Z,5.8598976
2000-04-01T00:00:00Z,5.6959367
2000-05-01T00:00:00Z,4.1872416
2000-06-01T00:00:00Z,4.3259883
2000-07-01T00:00:00Z,5.739406
2000-08-01T00:00:00Z,4.706215
2000-09-01T00:00:00Z,2.3234026
2000-10-01T00:00:00Z,3.7896898
2000-11-01T00:00:00Z,4.7603273
2000-12-01T00:00:00Z,2.0102782
2001-01-01T00:00:00Z,3.4772816
2001-02-01T00:00:00Z,4.3505464
2001-03-01T00:00:00Z,5.054206
2001-04-01T00:00:00Z,7.1240907
2001-05-01T00:00:00Z,5.154228
2001-06-01T00:00:00Z,5.156296
2001-07-01T00:00:00Z,5.1584992
2001-08-01T00:00:00Z,4.2809286
2001-09-01T00:00:00Z,1.5324976
2001-10-01T00:00:00Z,4.13377
2001-11-01T00:00:00Z,0.021900557
2001-12-01T00:00:00Z,2.7535987
2002-01-01T00:00:00Z,3.589154
2002-02-01T00:00:00Z,4.7497907
2002-03-01T00:00:00Z,5.003904
2002-04-01T00:00:00Z,4.565727
2002-05-01T00:00:00Z,4.345081
2002-06-01T00:00:00Z,4.235081
2002-07-01T00:00:00Z,4.965297
2002-08-01T00:00:00Z,4.3311377
2002-09-01T00:00:00Z,2.4179277
2002-10-01T00:00:00Z,1.9133725
2002-11-01T00:00:00Z,0.41663578
2002-12-01T00:00:00Z,2.3196263
2003-01-01T00:00:00Z,0.2812027
2003-02-01T00:00:00Z,1.8095214
2003-03-01T00:00:00Z,2.2908638
2003-04-01T00:00:00Z,5.8599634
2003-05-01T00:00:00Z,5.2591896
