time,location,dissolved_oxygen
1951-11-01T00:00:00Z,CalCOFI 93.30,2.17
1951-12-01T00:00:00Z,CalCOFI 93.30,2.4
1952-01-01T00:00:00Z,CalCOFI 93.30,NaN
1952-02-01T00:00:00Z,CalCOFI 93.30,2.79
1952-03-01T00:00:00Z,CalCOFI 93.30,2.24
1952-04-01T00:00:00Z,CalCOFI 93.30,2.55
1952-05-01T00:00:00Z,CalCOFI 93.30,2.28
1952-06-01T00:00:00Z,CalCOFI 93.30,1.92
1952-07-01T00:00:00Z,CalCOFI 93.30,2.39
1952-08-01T00:00:00Z,CalCOFI 93.30,2.96
1952-09-01T00:00:00Z,CalCOFI 93.30,1.98
1952-10-01T00:00:00Z,CalCOFI 93.30,2.16
1952-11-01T00:00:00Z,CalCOFI 93.30,2.38
1952-12-01T00:00:00Z,CalCOFI 93.30,NaN
1953-01-01T00:00:00Z,CalCOFI 93.30,2.14
1953-02-01T00:00:00Z,CalCOFI 93.30,2.43
1953-03-01T00:00:00Z,CalCOFI 93.30,2.12
1953-04-01T00:00:00Z,CalCOFI 93.30,1.89
1953-05-01T00:00:00Z,CalCOFI 93.30,2.22
1953-06-01T00:00:00Z,CalCOFI 93.30,NaN
1953-07-01T00:00:00Z,CalCOFI 93.30,NaN
1953-08-01T00:00:00Z,CalCOFI 93.30,NaN
1953-09-01T00:00:00Z,CalCOFI 93.30,NaN
1953-10-01T00:00:00Z,CalCOFI 93.30,NaN
1953-11-01T00:00:00Z,CalCOFI 93.30,NaN
1953-12-01T00:00:00Z,CalCOFI 93.30,NaN
1954-01-01T00:00:00Z,CalCOFI 93.30,NaN
1954-02-01T00:00:00Z,CalCOFI 93.30,NaN
1954-03-01T00:00:00Z,CalCOFI 93.30,NaN
1954-04-01T00:00:00Z,CalCOFI 93.30,NaN
1954-05-01T00:00:00Z,CalCOFI 93.30,NaN
1954-06-01T00:00:00Z,CalCOFI 93.30,NaN
1954-07-01T00:00:00Z,CalCOFI 93.30,NaN
1954-08-01T00:00:00Z,CalCOFI 93.30,NaN
1954-09-01T00:00:00Z,CalCOFI 93.30,NaN
1954-10-01T00:00:00Z,CalCOFI 93.30,NaN
1954-11-01T00:00:00Z,CalCOFI 93.30,NaN
1954-12-01T00:00:00Z,CalCOFI 93.30,NaN
1955-01-01T00:00:00Z,CalCOFI 93.30,NaN
1955-02-01T00:00:00Z,CalCOFI 93.30,NaN
1955-03-01T00:00:00Z,CalCOFI 93.30,NaN
1955-04-01T00:00:00Z,CalCOFI 93.30,2.0
1955-05-01T00:00:00Z,CalCOFI 93.30,NaN
1955-06-01T00:00:00Z,CalCOFI 93.30,NaN
1955-07-01T00:00:00Z,CalCOFI 93.30,NaN
1955-08-01T00:00:00Z,CalCOFI 93.30,NaN
1955-09-01T00:00:00Z,CalCOFI 93.30,NaN
1955-10-01T00:00:00Z,CalCOFI 93.30,2.15
1955-11-01T00:00:00Z,CalCOFI 93.30,NaN
1955-12-01T00:00:00Z,CalCOFI 93.30,2.27
1956-01-01T00:00:00Z,CalCOFI 93.30,NaN
1956-02-01T00:00:00Z,CalCOFI 93.30,2.09
1956-03-01T00:00:00Z,CalCOFI 93.30,NaN
1956-04-01T00:00:00Z,CalCOFI 93.30,2.1
1956-05-01T00:00:00Z,CalCOFI 93.30,NaN
1956-06-01T00:00:00Z,CalCOFI 93.30,2.39
1956-07-01T00:00:00Z,CalCOFI 93.30,NaN
1956-08-01T00:00:00Z,CalCOFI 93.30,NaN
1956-09-01T00:00:00Z,CalCOFI 93.30,NaN
1956-10-01T00:00:00Z,CalCOFI 93.30,NaN
1956-11-01T00:00:00Z,CalCOFI 93.30,NaN
1956-12-01T00:00:00Z,CalCOFI 93.30,NaN
1957-01-01T00:00:00Z,CalCOFI 93.30,NaN
1957-02-01T00:00:00Z,CalCOFI 93.30,NaN
1957-03-01T00:00:00Z,CalCOFI 93.30,NaN
1957-04-01T00:00:00Z,CalCOFI 93.30,2.03
1957-05-01T00:00:00Z,CalCOFI 93.30,NaN
1957-06-01T00:00:00Z,CalCOFI 93.30,NaN
1957-07-01T00:00:00Z,CalCOFI 93.30,3.58
1957-08-01T00:00:00Z,CalCOFI 93.30,NaN
1957-09-01T00:00:00Z,CalCOFI 93.30,2.44
1957-10-01T00:00:00Z,CalCOFI 93.30,NaN
1957-11-01T00:00:00Z,CalCOFI 93.30,2.91
1957-12-01T00:00:00Z,CalCOFI 93.30,NaN
1958-01-01T00:00:00Z,CalCOFI 93.30,3.23
1958-02-01T00:00:00Z,CalCOFI 93.30,NaN
1958-03-01T00:00:00Z,CalCOFI 93.30,NaN
