time,percent_diet,diet_species_cohort
2012-01-01T00:00:00Z,NA,Rockfish juveniles (No CC Rhinoceros auklet)
2013-01-01T00:00:00Z,0,Rockfish juveniles (No CC Rhinoceros auklet)
2014-01-01T00:00:00Z,NA,Rockfish juveniles (No CC Rhinoceros auklet)
2015-01-01T00:00:00Z,0,Rockfish juveniles (No CC Rhinoceros auklet)
2016-01-01T00:00:00Z,0.176,Rockfish juveniles (No CC Rhinoceros auklet)
2017-01-01T00:00:00Z,0.006,Rockfish juveniles (No CC Rhinoceros auklet)
2018-01-01T00:00:00Z,0,Rockfish juveniles (No CC Rhinoceros auklet)
2019-01-01T00:00:00Z,0.004612397,Rockfish juveniles (No CC Rhinoceros auklet)
2008-01-01T00:00:00Z,0.145,Smelts (No CC Rhinoceros auklet)
2009-01-01T00:00:00Z,0.06,Smelts (No CC Rhinoceros auklet)
2010-01-01T00:00:00Z,0.094,Smelts (No CC Rhinoceros auklet)
2011-01-01T00:00:00Z,NA,Smelts (No CC Rhinoceros auklet)
2012-01-01T00:00:00Z,NA,Smelts (No CC Rhinoceros auklet)
2013-01-01T00:00:00Z,0.086,Smelts (No CC Rhinoceros auklet)
2014-01-01T00:00:00Z,NA,Smelts (No CC Rhinoceros auklet)
2015-01-01T00:00:00Z,0,Smelts (No CC Rhinoceros auklet)
2016-01-01T00:00:00Z,0.107,Smelts (No CC Rhinoceros auklet)
2017-01-01T00:00:00Z,0.049,Smelts (No CC Rhinoceros auklet)
2018-01-01T00:00:00Z,0.293,Smelts (No CC Rhinoceros auklet)
2019-01-01T00:00:00Z,0.5903868,Smelts (No CC Rhinoceros auklet)
