time,productivity_anomaly,species_cohort
1993-01-01T00:00:00Z,0.035,Common murre productivity anomaly (Ce CC - SEFI)
1994-01-01T00:00:00Z,0.105,Common murre productivity anomaly (Ce CC - SEFI)
1995-01-01T00:00:00Z,0.115,Common murre productivity anomaly (Ce CC - SEFI)
1996-01-01T00:00:00Z,-0.105,Common murre productivity anomaly (Ce CC - SEFI)
1997-01-01T00:00:00Z,0.035,Common murre productivity anomaly (Ce CC - SEFI)
1998-01-01T00:00:00Z,-0.325,Common murre productivity anomaly (Ce CC - SEFI)
1999-01-01T00:00:00Z,0.105,Common murre productivity anomaly (Ce CC - SEFI)
2000-01-01T00:00:00Z,0.105,Common murre productivity anomaly (Ce CC - SEFI)
2001-01-01T00:00:00Z,0.095,Common murre productivity anomaly (Ce CC - SEFI)
2002-01-01T00:00:00Z,0.055,Common murre productivity anomaly (Ce CC - SEFI)
2003-01-01T00:00:00Z,0.005,Common murre productivity anomaly (Ce CC - SEFI)
2004-01-01T00:00:00Z,0.135,Common murre productivity anomaly (Ce CC - SEFI)
2005-01-01T00:00:00Z,-0.205,Common murre productivity anomaly (Ce CC - SEFI)
2006-01-01T00:00:00Z,-0.315,Common murre productivity anomaly (Ce CC - SEFI)
2007-01-01T00:00:00Z,0.105,Common murre productivity anomaly (Ce CC - SEFI)
2008-01-01T00:00:00Z,0.085,Common murre productivity anomaly (Ce CC - SEFI)
2009-01-01T00:00:00Z,-0.565,Common murre productivity anomaly (Ce CC - SEFI)
2010-01-01T00:00:00Z,0.165,Common murre productivity anomaly (Ce CC - SEFI)
2011-01-01T00:00:00Z,-0.005,Common murre productivity anomaly (Ce CC - SEFI)
2012-01-01T00:00:00Z,0.065,Common murre productivity anomaly (Ce CC - SEFI)
2013-01-01T00:00:00Z,0.105,Common murre productivity anomaly (Ce CC - SEFI)
2014-01-01T00:00:00Z,-0.045,Common murre productivity anomaly (Ce CC - SEFI)
2015-01-01T00:00:00Z,-0.155,Common murre productivity anomaly (Ce CC - SEFI)
2016-01-01T00:00:00Z,-0.265,Common murre productivity anomaly (Ce CC - SEFI)
2017-01-01T00:00:00Z,-0.135,Common murre productivity anomaly (Ce CC - SEFI)
2018-01-01T00:00:00Z,0.025,Common murre productivity anomaly (Ce CC - SEFI)
2019-01-01T00:00:00Z,-0.395,Common murre productivity anomaly (Ce CC - SEFI)
1971-01-01T00:00:00Z,0.562,Pigeon guillemot productivity anomaly (Cen CC - SEFI)
1972-01-01T00:00:00Z,0.082,Pigeon guillemot productivity anomaly (Cen CC - SEFI)
1973-01-01T00:00:00Z,-0.158,Pigeon guillemot productivity anomaly (Cen CC - SEFI)
1974-01-01T00:00:00Z,0.312,Pigeon guillemot productivity anomaly (Cen CC - SEFI)
1975-01-01T00:00:00Z,0.382,Pigeon guillemot productivity anomaly (Cen CC - SEFI)
1976-01-01T00:00:00Z,-0.248,Pigeon guillemot productivity anomaly (Cen CC - SEFI)
1977-01-01T00:00:00Z,0.732,Pigeon guillemot productivity anomaly (Cen CC - SEFI)
1978-01-01T00:00:00Z,-0.598,Pigeon guillemot productivity anomaly (Cen CC - SEFI)
1979-01-01T00:00:00Z,0.672,Pigeon guillemot productivity anomaly (Cen CC - SEFI)
1980-01-01T00:00:00Z,-0.058,Pigeon guillemot productivity anomaly (Cen CC - SEFI)
1981-01-01T00:00:00Z,0.492,Pigeon guillemot productivity anomaly (Cen CC - SEFI)
1982-01-01T00:00:00Z,-0.198,Pigeon guillemot productivity anomaly (Cen CC - SEFI)
1983-01-01T00:00:00Z,-0.798,Pigeon guillemot productivity anomaly (Cen CC - SEFI)
1984-01-01T00:00:00Z,0.262,Pigeon guillemot productivity anomaly (Cen CC - SEFI)
1985-01-01T00:00:00Z,0.442,Pigeon guillemot productivity anomaly (Cen CC - SEFI)
1986-01-01T00:00:00Z,-0.778,Pigeon guillemot productivity anomaly (Cen CC - SEFI)
1987-01-01T00:00:00Z,0.592,Pigeon guillemot productivity anomaly (Cen CC - SEFI)
1988-01-01T00:00:00Z,0.172,Pigeon guillemot productivity anomaly (Cen CC - SEFI)
1989-01-01T00:00:00Z,-0.308,Pigeon guillemot productivity anomaly (Cen CC - SEFI)
1990-01-01T00:00:00Z,-0.538,Pigeon guillemot productivity anomaly (Cen CC - SEFI)
1991-01-01T00:00:00Z,0.462,Pigeon guillemot productivity anomaly (Cen CC - SEFI)
1992-01-01T00:00:00Z,-0.488,Pigeon guillemot productivity anomaly (Cen CC - SEFI)
1993-01-01T00:00:00Z,-0.338,Pigeon guillemot productivity anomaly (Cen CC - SEFI)
1994-01-01T00:00:00Z,-0.308,Pigeon guillemot productivity anomaly (Cen CC - SEFI)
1995-01-01T00:00:00Z,0.052,Pigeon guillemot productivity anomaly (Cen CC - SEFI)
1996-01-01T00:00:00Z,-0.338,Pigeon guillemot productivity anomaly (Cen CC - SEFI)
1997-01-01T00:00:00Z,-0.118,Pigeon guillemot productivity anomaly (Cen CC - SEFI)
1998-01-01T00:00:00Z,-0.748,Pigeon guillemot productivity anomaly (Cen CC - SEFI)
1999-01-01T00:00:00Z,0.342,Pigeon guillemot productivity anomaly (Cen CC - SEFI)
2000-01-01T00:00:00Z,0.382,Pigeon guillemot productivity anomaly (Cen CC - SEFI)
2001-01-01T00:00:00Z,0.522,Pigeon guillemot productivity anomaly (Cen CC - SEFI)
2002-01-01T00:00:00Z,0.662,Pigeon guillemot productivity anomaly (Cen CC - SEFI)
2003-01-01T00:00:00Z,0.122,Pigeon guillemot productivity anomaly (Cen CC - SEFI)
