time,beuti,latitude
1997-04-01T00:00:00Z,23.427,39
1997-04-01T00:00:00Z,0.343,33
1997-05-01T00:00:00Z,0.201,45
1997-05-01T00:00:00Z,3.597,39
1997-05-01T00:00:00Z,0.024,33
1997-06-01T00:00:00Z,0.053,45
1997-06-01T00:00:00Z,13.117,39
1997-06-01T00:00:00Z,0.012,33
1997-07-01T00:00:00Z,0.282,45
1997-07-01T00:00:00Z,9.588,39
1997-07-01T00:00:00Z,0.006,33
1997-08-01T00:00:00Z,0.254,45
1997-08-01T00:00:00Z,2.172,39
1997-08-01T00:00:00Z,0.002,33
1997-09-01T00:00:00Z,0.0,45
1997-09-01T00:00:00Z,0.185,39
1997-09-01T00:00:00Z,0.001,33
1997-10-01T00:00:00Z,-0.009,45
1997-10-01T00:00:00Z,1.638,39
1997-10-01T00:00:00Z,0.003,33
1997-11-01T00:00:00Z,-0.063,45
1997-11-01T00:00:00Z,0.001,39
1997-11-01T00:00:00Z,0.001,33
1997-12-01T00:00:00Z,-0.036,45
1997-12-01T00:00:00Z,0.414,39
1997-12-01T00:00:00Z,0.011,33
1998-01-01T00:00:00Z,-1.806,45
1998-01-01T00:00:00Z,-1.915,39
1998-01-01T00:00:00Z,0.013,33
1998-02-01T00:00:00Z,-2.445,45
1998-02-01T00:00:00Z,0.463,39
1998-02-01T00:00:00Z,0.347,33
1998-03-01T00:00:00Z,0.206,45
1998-03-01T00:00:00Z,7.275,39
1998-03-01T00:00:00Z,0.252,33
1998-04-01T00:00:00Z,0.972,45
1998-04-01T00:00:00Z,13.526,39
1998-04-01T00:00:00Z,0.474,33
1998-05-01T00:00:00Z,0.933,45
1998-05-01T00:00:00Z,5.483,39
1998-05-01T00:00:00Z,0.157,33
1998-06-01T00:00:00Z,0.73,45
1998-06-01T00:00:00Z,12.388,39
1998-06-01T00:00:00Z,0.033,33
1998-07-01T00:00:00Z,0.317,45
1998-07-01T00:00:00Z,12.661,39
1998-07-01T00:00:00Z,0.014,33
1998-08-01T00:00:00Z,0.989,45
1998-08-01T00:00:00Z,9.411,39
1998-08-01T00:00:00Z,0.003,33
1998-09-01T00:00:00Z,0.611,45
1998-09-01T00:00:00Z,4.257,39
1998-09-01T00:00:00Z,0.002,33
1998-10-01T00:00:00Z,0.027,45
1998-10-01T00:00:00Z,5.01,39
1998-10-01T00:00:00Z,0.014,33
1998-11-01T00:00:00Z,-1.347,45
1998-11-01T00:00:00Z,0.784,39
1998-11-01T00:00:00Z,0.098,33
1998-12-01T00:00:00Z,-1.204,45
1998-12-01T00:00:00Z,12.337,39
1998-12-01T00:00:00Z,0.641,33
1999-01-01T00:00:00Z,-4.935,45
1999-01-01T00:00:00Z,7.52,39
1999-01-01T00:00:00Z,0.597,33
1999-02-01T00:00:00Z,-22.082,45
1999-02-01T00:00:00Z,1.289,39
1999-02-01T00:00:00Z,2.234,33
1999-03-01T00:00:00Z,-7.916,45
1999-03-01T00:00:00Z,8.838,39
1999-03-01T00:00:00Z,1.742,33
1999-04-01T00:00:00Z,9.036,45
1999-04-01T00:00:00Z,47.667,39
1999-04-01T00:00:00Z,2.963,33
1999-05-01T00:00:00Z,4.199,45
1999-05-01T00:00:00Z,47.661,39
1999-05-01T00:00:00Z,0.593,33
1999-06-01T00:00:00Z,1.005,45
1999-06-01T00:00:00Z,34.132,39
1999-06-01T00:00:00Z,0.374,33
1999-07-01T00:00:00Z,0.617,45
1999-07-01T00:00:00Z,17.461,39
1999-07-01T00:00:00Z,0.045,33
1999-08-01T00:00:00Z,0.242,45
1999-08-01T00:00:00Z,4.53,39
1999-08-01T00:00:00Z,0.029,33
1999-09-01T00:00:00Z,1.58,45
1999-09-01T00:00:00Z,8.033,39
1999-09-01T00:00:00Z,0.008,33
1999-10-01T00:00:00Z,0.488,45
1999-10-01T00:00:00Z,5.147,39
1999-10-01T00:00:00Z,0.011,33
1999-11-01T00:00:00Z,-2.655,45
1999-11-01T00:00:00Z,-0.527,39
1999-11-01T00:00:00Z,0.126,33
1999-12-01T00:00:00Z,0.301,45
1999-12-01T00:00:00Z,11.529,39
1999-12-01T00:00:00Z,0.642,33
2000-01-01T00:00:00Z,-3.466,45
2000-01-01T00:00:00Z,1.528,39
2000-01-01T00:00:00Z,1.18,33
2000-02-01T00:00:00Z,-3.53,45
2000-02-01T00:00:00Z,-1.583,39
2000-02-01T00:00:00Z,0.836,33
2000-03-01T00:00:00Z,1.511,45
2000-03-01T00:00:00Z,27.973,39
2000-03-01T00:00:00Z,1.859,33
2000-04-01T00:00:00Z,2.633,45
2000-04-01T00:00:00Z,9.752,39
2000-04-01T00:00:00Z,0.563,33
2000-05-01T00:00:00Z,0.741,45
2000-05-01T00:00:00Z,16.397,39
2000-05-01T00:00:00Z,0.248,33
2000-06-01T00:00:00Z,0.941,45
2000-06-01T00:00:00Z,13.302,39
2000-06-01T00:00:00Z,0.012,33
2000-07-01T00:00:00Z,1.196,45
2000-07-01T00:00:00Z,17.572,39
2000-07-01T00:00:00Z,0.007,33
2000-08-01T00:00:00Z,1.888,45
2000-08-01T00:00:00Z,10.495,39
2000-08-01T00:00:00Z,0.004,33
2000-09-01T00:00:00Z,0.196,45
2000-09-01T00:00:00Z,4.136,39
2000-09-01T00:00:00Z,0.003,33
2000-10-01T00:00:00Z,0.009,45
2000-10-01T00:00:00Z,6.293,39
2000-10-01T00:00:00Z,0.01,33
2000-11-01T00:00:00Z,0.778,45
2000-11-01T00:00:00Z,6.209,39
2000-11-01T00:00:00Z,0.349,33
2000-12-01T00:00:00Z,-3.765,45
2000-12-01T00:00:00Z,3.499,39
2000-12-01T00:00:00Z,0.553,33
2001-01-01T00:00:00Z,-6.389,45
2001-01-01T00:00:00Z,4.392,39
2001-01-01T00:00:00Z,0.679,33
2001-02-01T00:00:00Z,2.365,45
2001-02-01T00:00:00Z,5.834,39
2001-02-01T00:00:00Z,2.275,33
2001-03-01T00:00:00Z,7.201,45
2001-03-01T00:00:00Z,20.602,39
2001-03-01T00:00:00Z,1.361,33
2001-04-01T00:00:00Z,1.333,45
