time,upwelling_index,nobs,stdev
1990-09-01T00:00:00Z,46.8605,120,62.03
1990-10-01T00:00:00Z,75.8158,124,110.345
1990-11-01T00:00:00Z,41.1261,120,49.525
1990-12-01T00:00:00Z,54.8134,124,86.122
1991-01-01T00:00:00Z,-3.395,124,82.284
1991-02-01T00:00:00Z,-66.3532,112,220.197
1991-03-01T00:00:00Z,20.557,124,167.624
1991-04-01T00:00:00Z,55.3771,120,73.369
1991-05-01T00:00:00Z,131.4199,124,109.014
1991-06-01T00:00:00Z,173.6921,120,173.246
1991-07-01T00:00:00Z,123.4873,124,84.642
1991-08-01T00:00:00Z,40.4406,124,103.201
1991-09-01T00:00:00Z,80.5716,120,84.192
1991-10-01T00:00:00Z,76.622,124,84.17
1991-11-01T00:00:00Z,39.5068,120,125.316
1991-12-01T00:00:00Z,-23.7251,124,240.232
1992-01-01T00:00:00Z,-50.7698,124,168.584
1992-02-01T00:00:00Z,-104.0565,116,196.858
1992-03-01T00:00:00Z,-3.9912,124,125.463
1992-04-01T00:00:00Z,4.2866,120,113.95
1992-05-01T00:00:00Z,132.2617,124,125.433
1992-06-01T00:00:00Z,114.6126,120,127.195
1992-07-01T00:00:00Z,82.1397,124,63.327
1992-08-01T00:00:00Z,81.5611,124,57.923
1992-09-01T00:00:00Z,78.6455,120,120.608
1992-10-01T00:00:00Z,24.4055,124,77.8
1992-11-01T00:00:00Z,18.0295,120,96.791
1992-12-01T00:00:00Z,22.6684,124,100.898
1993-01-01T00:00:00Z,-24.263,124,160.979
1993-02-01T00:00:00Z,-65.1899,112,248.087
1993-03-01T00:00:00Z,-20.2891,124,100.075
1993-04-01T00:00:00Z,17.5247,120,84.091
1993-05-01T00:00:00Z,-28.1669,124,117.925
1993-06-01T00:00:00Z,138.109,120,107.217
1993-07-01T00:00:00Z,168.363,124,90.742
1993-08-01T00:00:00Z,125.9593,124,123.533
1993-09-01T00:00:00Z,81.8375,120,77.892
1993-10-01T00:00:00Z,23.4862,124,49.029
1993-11-01T00:00:00Z,58.9534,120,125.33
1993-12-01T00:00:00Z,-47.1615,124,164.131
1994-01-01T00:00:00Z,-13.4808,123,91.537
1994-02-01T00:00:00Z,-16.7683,112,155.041
1994-03-01T00:00:00Z,20.7789,124,98.905
1994-04-01T00:00:00Z,82.7189,120,111.04
1994-05-01T00:00:00Z,92.4802,124,97.249
1994-06-01T00:00:00Z,104.426,120,85.495
1994-07-01T00:00:00Z,167.9618,124,136.123
1994-08-01T00:00:00Z,106.979,124,94.618
1994-09-01T00:00:00Z,62.7157,119,71.301
1994-10-01T00:00:00Z,85.2593,124,90.174
1994-11-01T00:00:00Z,38.1769,120,108.458
1994-12-01T00:00:00Z,-50.2108,124,140.416
1995-01-01T00:00:00Z,-282.4014,124,355.997
1995-02-01T00:00:00Z,-5.713,112,59.252
1995-03-01T00:00:00Z,-50.8083,124,191.419
1995-04-01T00:00:00Z,43.6716,120,86.262
1995-05-01T00:00:00Z,127.8448,124,141.737
1995-06-01T00:00:00Z,120.2652,120,128.612
1995-07-01T00:00:00Z,88.8624,124,137.322
1995-08-01T00:00:00Z,142.7865,124,119.173
1995-09-01T00:00:00Z,60.9588,120,72.2
1995-10-01T00:00:00Z,106.2776,124,104.743
1995-11-01T00:00:00Z,4.6249,120,75.238
1995-12-01T00:00:00Z,-84.5876,124,225.107
1996-01-01T00:00:00Z,-17.9701,124,130.651
1996-02-01T00:00:00Z,-45.7142,116,129.384
1996-03-01T00:00:00Z,58.3053,124,218.61
1996-04-01T00:00:00Z,15.6094,120,134.437
1996-05-01T00:00:00Z,120.9576,124,176.326
1996-06-01T00:00:00Z,182.8316,120,129.227
1996-07-01T00:00:00Z,154.0869,124,121.314
1996-08-01T00:00:00Z,139.2181,124,105.08
1996-09-01T00:00:00Z,108.7171,120,114.118
1996-10-01T00:00:00Z,63.9296,124,80.875
1996-11-01T00:00:00Z,2.9003,120,168.915
1996-12-01T00:00:00Z,-94.8416,117,281.348
1997-01-01T00:00:00Z,-40.2084,91,205.511
1997-02-01T00:00:00Z,110.1646,87,191.801
1997-03-01T00:00:00Z,112.5545,123,182.258
1997-04-01T00:00:00Z,138.9301,104,197.926
1997-05-01T00:00:00Z,50.8643,108,65.191
1997-06-01T00:00:00Z,273.3372,120,259.48
1997-07-01T00:00:00Z,190.4364,123,111.66
1997-08-01T00:00:00Z,87.4284,117,146.598
1997-09-01T00:00:00Z,88.5355,118,100.003
1997-10-01T00:00:00Z,105.3261,122,158.675
1997-11-01T00:00:00Z,-37.8507,119,158.338
1997-12-01T00:00:00Z,-30.066,124,272.478
1998-01-01T00:00:00Z,-114.4965,124,209.726
1998-02-01T00:00:00Z,-240.172,105,670.585
1998-03-01T00:00:00Z,64.6095,115,230.828
1998-04-01T00:00:00Z,98.4864,110,147.652
1998-05-01T00:00:00Z,27.8624,121,173.062
1998-06-01T00:00:00Z,201.716,119,178.281
1998-07-01T00:00:00Z,196.6803,124,161.056
1998-08-01T00:00:00Z,240.3564,123,130.819
1998-09-01T00:00:00Z,131.7489,120,120.332
1998-10-01T00:00:00Z,76.4953,124,133.859
1998-11-01T00:00:00Z,-116.8187,120,417.098
1998-12-01T00:00:00Z,85.4714,124,194.409
1999-01-01T00:00:00Z,45.1969,124,212.986
1999-02-01T00:00:00Z,-80.4642,112,219.324
1999-03-01T00:00:00Z,4.2659,124,185.882
1999-04-01T00:00:00Z,303.4626,108,368.859
1999-05-01T00:00:00Z,345.1626,124,302.442
1999-06-01T00:00:00Z,324.0128,118,265.221
1999-07-01T00:00:00Z,231.7661,123,252.238
1999-08-01T00:00:00Z,138.1575,124,127.387
1999-09-01T00:00:00Z,161.9507,119,191.506
1999-10-01T00:00:00Z,64.995,106,212.008
1999-11-01T00:00:00Z,-138.3826,119,302.826
1999-12-01T00:00:00Z,39.6248,123,80.566
2000-01-01T00:00:00Z,-56.5364,116,162.549
2000-02-01T00:00:00Z,-139.8682,116,205.805
2000-03-01T00:00:00Z,156.329,122,265.032
2000-04-01T00:00:00Z,32.6887,120,71.564
2000-05-01T00:00:00Z,176.3539,120,264.036
2000-06-01T00:00:00Z,202.8332,120,217.919
2000-07-01T00:00:00Z,232.0018,124,153.434
2000-08-01T00:00:00Z,268.4336,123,249.919
2000-09-01T00:00:00Z,117.6193,120,125.642
2000-10-01T00:00:00Z,91.3889,124,165.727
2000-11-01T00:00:00Z,37.7896,117,132.24
2000-12-01T00:00:00Z,-7.1742,124,60.689
2001-01-01T00:00:00Z,-47.0401,119,246.139
2001-02-01T00:00:00Z,-54.0718,112,371.64
2001-03-01T00:00:00Z,145.5372,123,356.908
2001-04-01T00:00:00Z,131.0277,119,179.473
