time,cuti,latitude
1998-06-01T00:00:00Z,0.266,33
1998-07-01T00:00:00Z,0.377,45
1998-07-01T00:00:00Z,1.369,39
1998-07-01T00:00:00Z,0.196,33
1998-08-01T00:00:00Z,0.525,45
1998-08-01T00:00:00Z,1.4,39
1998-08-01T00:00:00Z,0.26,33
1998-09-01T00:00:00Z,0.5,45
1998-09-01T00:00:00Z,0.843,39
1998-09-01T00:00:00Z,0.293,33
1998-10-01T00:00:00Z,0.021,45
1998-10-01T00:00:00Z,0.93,39
1998-10-01T00:00:00Z,0.365,33
1998-11-01T00:00:00Z,-0.722,45
1998-11-01T00:00:00Z,0.098,39
1998-11-01T00:00:00Z,0.427,33
1998-12-01T00:00:00Z,-0.078,45
1998-12-01T00:00:00Z,1.259,39
1998-12-01T00:00:00Z,0.334,33
1999-01-01T00:00:00Z,-0.288,45
1999-01-01T00:00:00Z,0.531,39
1999-01-01T00:00:00Z,0.188,33
1999-02-01T00:00:00Z,-1.252,45
1999-02-01T00:00:00Z,0.084,39
1999-02-01T00:00:00Z,0.593,33
1999-03-01T00:00:00Z,-0.404,45
1999-03-01T00:00:00Z,0.558,39
1999-03-01T00:00:00Z,0.371,33
1999-04-01T00:00:00Z,0.553,45
1999-04-01T00:00:00Z,2.313,39
1999-04-01T00:00:00Z,0.482,33
1999-05-01T00:00:00Z,0.497,45
1999-05-01T00:00:00Z,2.21,39
1999-05-01T00:00:00Z,0.241,33
1999-06-01T00:00:00Z,0.258,45
1999-06-01T00:00:00Z,2.035,39
1999-06-01T00:00:00Z,0.385,33
1999-07-01T00:00:00Z,0.465,45
1999-07-01T00:00:00Z,1.19,39
1999-07-01T00:00:00Z,0.399,33
1999-08-01T00:00:00Z,0.306,45
1999-08-01T00:00:00Z,1.201,39
1999-08-01T00:00:00Z,0.382,33
1999-09-01T00:00:00Z,0.64,45
1999-09-01T00:00:00Z,1.075,39
1999-09-01T00:00:00Z,0.32,33
1999-10-01T00:00:00Z,0.102,45
1999-10-01T00:00:00Z,0.66,39
1999-10-01T00:00:00Z,0.3,33
1999-11-01T00:00:00Z,-0.641,45
1999-11-01T00:00:00Z,-0.093,39
1999-11-01T00:00:00Z,0.303,33
1999-12-01T00:00:00Z,-0.008,45
1999-12-01T00:00:00Z,1.163,39
1999-12-01T00:00:00Z,0.328,33
2000-01-01T00:00:00Z,-0.293,45
2000-01-01T00:00:00Z,0.107,39
2000-01-01T00:00:00Z,0.421,33
2000-02-01T00:00:00Z,-0.266,45
2000-02-01T00:00:00Z,-0.15,39
2000-02-01T00:00:00Z,0.312,33
2000-03-01T00:00:00Z,0.109,45
2000-03-01T00:00:00Z,1.862,39
2000-03-01T00:00:00Z,0.524,33
2000-04-01T00:00:00Z,0.209,45
2000-04-01T00:00:00Z,0.689,39
2000-04-01T00:00:00Z,0.376,33
2000-05-01T00:00:00Z,0.251,45
2000-05-01T00:00:00Z,1.353,39
2000-05-01T00:00:00Z,0.429,33
2000-06-01T00:00:00Z,0.566,45
2000-06-01T00:00:00Z,1.165,39
2000-06-01T00:00:00Z,0.342,33
2000-07-01T00:00:00Z,0.427,45
2000-07-01T00:00:00Z,1.672,39
2000-07-01T00:00:00Z,0.324,33
2000-08-01T00:00:00Z,0.487,45
2000-08-01T00:00:00Z,1.416,39
2000-08-01T00:00:00Z,0.304,33
2000-09-01T00:00:00Z,0.251,45
2000-09-01T00:00:00Z,0.933,39
2000-09-01T00:00:00Z,0.265,33
2000-10-01T00:00:00Z,0.108,45
2000-10-01T00:00:00Z,0.945,39
2000-10-01T00:00:00Z,0.306,33
2000-11-01T00:00:00Z,0.222,45
2000-11-01T00:00:00Z,0.527,39
2000-11-01T00:00:00Z,0.472,33
2000-12-01T00:00:00Z,-0.314,45
2000-12-01T00:00:00Z,0.367,39
2000-12-01T00:00:00Z,0.221,33
2001-01-01T00:00:00Z,-0.409,45
2001-01-01T00:00:00Z,0.325,39
2001-01-01T00:00:00Z,0.196,33
2001-02-01T00:00:00Z,0.232,45
2001-02-01T00:00:00Z,0.38,39
2001-02-01T00:00:00Z,0.429,33
2001-03-01T00:00:00Z,0.541,45
2001-03-01T00:00:00Z,1.21,39
2001-03-01T00:00:00Z,0.359,33
2001-04-01T00:00:00Z,0.182,45
2001-04-01T00:00:00Z,1.22,39
2001-04-01T00:00:00Z,0.793,33
2001-05-01T00:00:00Z,0.471,45
2001-05-01T00:00:00Z,1.86,39
2001-05-01T00:00:00Z,0.053,33
2001-06-01T00:00:00Z,0.418,45
2001-06-01T00:00:00Z,1.947,39
2001-06-01T00:00:00Z,0.247,33
2001-07-01T00:00:00Z,0.776,45
2001-07-01T00:00:00Z,2.108,39
2001-07-01T00:00:00Z,0.355,33
2001-08-01T00:00:00Z,0.161,45
2001-08-01T00:00:00Z,1.842,39
2001-08-01T00:00:00Z,0.372,33
2001-09-01T00:00:00Z,0.43,45
2001-09-01T00:00:00Z,1.147,39
2001-09-01T00:00:00Z,0.365,33
2001-10-01T00:00:00Z,0.108,45
2001-10-01T00:00:00Z,1.273,39
2001-10-01T00:00:00Z,0.16,33
2001-11-01T00:00:00Z,-0.725,45
2001-11-01T00:00:00Z,0.077,39
2001-11-01T00:00:00Z,0.396,33
