time,average_ESI,vessel_category
1983-01-01T00:00:00Z,1.8,vess_2018_OR_rev_5k
1984-01-01T00:00:00Z,1.87,vess_2018_OR_rev_5k
1985-01-01T00:00:00Z,1.8,vess_2018_OR_rev_5k
1986-01-01T00:00:00Z,1.87,vess_2018_OR_rev_5k
1987-01-01T00:00:00Z,1.98,vess_2018_OR_rev_5k
1988-01-01T00:00:00Z,1.91,vess_2018_OR_rev_5k
1989-01-01T00:00:00Z,1.8,vess_2018_OR_rev_5k
1990-01-01T00:00:00Z,1.87,vess_2018_OR_rev_5k
1991-01-01T00:00:00Z,1.97,vess_2018_OR_rev_5k
1992-01-01T00:00:00Z,2.09,vess_2018_OR_rev_5k
1993-01-01T00:00:00Z,2.12,vess_2018_OR_rev_5k
1994-01-01T00:00:00Z,2.05,vess_2018_OR_rev_5k
1995-01-01T00:00:00Z,1.98,vess_2018_OR_rev_5k
1996-01-01T00:00:00Z,2.05,vess_2018_OR_rev_5k
1997-01-01T00:00:00Z,2.14,vess_2018_OR_rev_5k
1998-01-01T00:00:00Z,2.07,vess_2018_OR_rev_5k
1999-01-01T00:00:00Z,2.0,vess_2018_OR_rev_5k
2000-01-01T00:00:00Z,1.97,vess_2018_OR_rev_5k
2001-01-01T00:00:00Z,1.99,vess_2018_OR_rev_5k
2002-01-01T00:00:00Z,1.94,vess_2018_OR_rev_5k
2003-01-01T00:00:00Z,1.95,vess_2018_OR_rev_5k
2004-01-01T00:00:00Z,1.91,vess_2018_OR_rev_5k
2005-01-01T00:00:00Z,1.91,vess_2018_OR_rev_5k
2006-01-01T00:00:00Z,1.86,vess_2018_OR_rev_5k
2007-01-01T00:00:00Z,1.92,vess_2018_OR_rev_5k
2008-01-01T00:00:00Z,1.84,vess_2018_OR_rev_5k
2009-01-01T00:00:00Z,1.85,vess_2018_OR_rev_5k
2010-01-01T00:00:00Z,1.83,vess_2018_OR_rev_5k
2011-01-01T00:00:00Z,1.82,vess_2018_OR_rev_5k
2012-01-01T00:00:00Z,1.83,vess_2018_OR_rev_5k
2013-01-01T00:00:00Z,1.7,vess_2018_OR_rev_5k
2014-01-01T00:00:00Z,1.74,vess_2018_OR_rev_5k
2015-01-01T00:00:00Z,1.78,vess_2018_OR_rev_5k
2016-01-01T00:00:00Z,1.7,vess_2018_OR_rev_5k
2017-01-01T00:00:00Z,1.67,vess_2018_OR_rev_5k
2018-01-01T00:00:00Z,1.64,vess_2018_OR_rev_5k
1981-01-01T00:00:00Z,1.85,vess_2018_CA_rev_5k
1982-01-01T00:00:00Z,1.77,vess_2018_CA_rev_5k
1983-01-01T00:00:00Z,1.85,vess_2018_CA_rev_5k
1984-01-01T00:00:00Z,1.8,vess_2018_CA_rev_5k
1985-01-01T00:00:00Z,1.77,vess_2018_CA_rev_5k
1986-01-01T00:00:00Z,1.77,vess_2018_CA_rev_5k
1987-01-01T00:00:00Z,1.82,vess_2018_CA_rev_5k
1988-01-01T00:00:00Z,1.85,vess_2018_CA_rev_5k
1989-01-01T00:00:00Z,1.74,vess_2018_CA_rev_5k
1990-01-01T00:00:00Z,1.78,vess_2018_CA_rev_5k
1991-01-01T00:00:00Z,1.79,vess_2018_CA_rev_5k
1992-01-01T00:00:00Z,1.77,vess_2018_CA_rev_5k
1993-01-01T00:00:00Z,1.78,vess_2018_CA_rev_5k
1994-01-01T00:00:00Z,1.78,vess_2018_CA_rev_5k
1995-01-01T00:00:00Z,1.74,vess_2018_CA_rev_5k
1996-01-01T00:00:00Z,1.71,vess_2018_CA_rev_5k
