time,social_vulnerability_index,location,region
2018-01-01T00:00:00Z,-3.361,"Summerland, CA",SCA
2009-01-01T00:00:00Z,-0.804,"Anacortes, WA",WA
2010-01-01T00:00:00Z,-0.91,"Anacortes, WA",WA
2011-01-01T00:00:00Z,-0.85,"Anacortes, WA",WA
2012-01-01T00:00:00Z,-0.895,"Anacortes, WA",WA
2013-01-01T00:00:00Z,-0.9,"Anacortes, WA",WA
2014-01-01T00:00:00Z,-0.837,"Anacortes, WA",WA
2015-01-01T00:00:00Z,-0.848,"Anacortes, WA",WA
2016-01-01T00:00:00Z,-0.9,"Anacortes, WA",WA
2017-01-01T00:00:00Z,-0.837,"Anacortes, WA",WA
2018-01-01T00:00:00Z,-0.887,"Anacortes, WA",WA
2009-01-01T00:00:00Z,0.8261667,"Bay Center, WA",WA
2010-01-01T00:00:00Z,3.7945,"Bay Center, WA",WA
2011-01-01T00:00:00Z,8.7735,"Bay Center, WA",WA
2012-01-01T00:00:00Z,8.8395,"Bay Center, WA",WA
2013-01-01T00:00:00Z,3.5155,"Bay Center, WA",WA
2014-01-01T00:00:00Z,3.613,"Bay Center, WA",WA
2015-01-01T00:00:00Z,3.9205,"Bay Center, WA",WA
2016-01-01T00:00:00Z,3.0545,"Bay Center, WA",WA
2017-01-01T00:00:00Z,2.1845,"Bay Center, WA",WA
2018-01-01T00:00:00Z,2.894,"Bay Center, WA",WA
2009-01-01T00:00:00Z,0.14,"Bellingham, WA",WA
2010-01-01T00:00:00Z,0.279,"Bellingham, WA",WA
2011-01-01T00:00:00Z,0.311,"Bellingham, WA",WA
2012-01-01T00:00:00Z,0.291,"Bellingham, WA",WA
2013-01-01T00:00:00Z,0.469,"Bellingham, WA",WA
2014-01-01T00:00:00Z,0.104,"Bellingham, WA",WA
2015-01-01T00:00:00Z,0.121,"Bellingham, WA",WA
2016-01-01T00:00:00Z,0.097,"Bellingham, WA",WA
2017-01-01T00:00:00Z,-0.178,"Bellingham, WA",WA
2018-01-01T00:00:00Z,-0.385,"Bellingham, WA",WA
2009-01-01T00:00:00Z,4.1495,"Chinook, WA",WA
2010-01-01T00:00:00Z,4.0235,"Chinook, WA",WA
2011-01-01T00:00:00Z,3.6635,"Chinook, WA",WA
2012-01-01T00:00:00Z,0.8435,"Chinook, WA",WA
2013-01-01T00:00:00Z,0.431,"Chinook, WA",WA
2014-01-01T00:00:00Z,-2.749,"Chinook, WA",WA
2015-01-01T00:00:00Z,-2.755,"Chinook, WA",WA
2016-01-01T00:00:00Z,-2.925,"Chinook, WA",WA
2017-01-01T00:00:00Z,-2.995,"Chinook, WA",WA
2018-01-01T00:00:00Z,-1.968,"Chinook, WA",WA
2009-01-01T00:00:00Z,0.041,"Ilwaco, WA",WA
2010-01-01T00:00:00Z,0.796,"Ilwaco, WA",WA
2011-01-01T00:00:00Z,2.354,"Ilwaco, WA",WA
2012-01-01T00:00:00Z,1.823,"Ilwaco, WA",WA
2013-01-01T00:00:00Z,0.321,"Ilwaco, WA",WA
2014-01-01T00:00:00Z,1.535,"Ilwaco, WA",WA
2015-01-01T00:00:00Z,1.473,"Ilwaco, WA",WA
2016-01-01T00:00:00Z,1.019,"Ilwaco, WA",WA
2017-01-01T00:00:00Z,1.004,"Ilwaco, WA",WA
2018-01-01T00:00:00Z,1.763,"Ilwaco, WA",WA
2009-01-01T00:00:00Z,7.147,"Neah Bay, WA",WA
2010-01-01T00:00:00Z,5.835,"Neah Bay, WA",WA
2011-01-01T00:00:00Z,4.926,"Neah Bay, WA",WA
2012-01-01T00:00:00Z,5.084,"Neah Bay, WA",WA
2013-01-01T00:00:00Z,4.793,"Neah Bay, WA",WA
2014-01-01T00:00:00Z,5.363,"Neah Bay, WA",WA
2015-01-01T00:00:00Z,6.094,"Neah Bay, WA",WA
2016-01-01T00:00:00Z,7.683,"Neah Bay, WA",WA
2017-01-01T00:00:00Z,7.888,"Neah Bay, WA",WA
2018-01-01T00:00:00Z,6.768,"Neah Bay, WA",WA
2010-01-01T00:00:00Z,-0.34,"Olympia, WA",WA
2011-01-01T00:00:00Z,1.79,"Olympia, WA",WA
2012-01-01T00:00:00Z,-0.412,"Olympia, WA",WA
2013-01-01T00:00:00Z,-0.669,"Olympia, WA",WA
