time,SWE_anomaly,Seup,Selo,location
1990-01-01T00:00:00Z,-0.9417784,-0.5855956,-1.2980975,Sacramento - San Joaquin
1991-01-01T00:00:00Z,-0.20452991,0.15128115,-0.5599472,Sacramento - San Joaquin
1992-01-01T00:00:00Z,-0.5061358,-0.15061511,-0.86159134,Sacramento - San Joaquin
1993-01-01T00:00:00Z,0.8799423,1.2364054,0.5231981,Sacramento - San Joaquin
1994-01-01T00:00:00Z,-0.78477466,-0.42973408,-1.1403509,Sacramento - San Joaquin
1995-01-01T00:00:00Z,1.3562995,1.7117814,1.0002295,Sacramento - San Joaquin
1996-01-01T00:00:00Z,0.0088264225,0.3638285,-0.3469216,Sacramento - San Joaquin
1997-01-01T00:00:00Z,-0.52955073,-0.17144209,-0.8881573,Sacramento - San Joaquin
1998-01-01T00:00:00Z,1.3693225,1.7455372,0.99302965,Sacramento - San Joaquin
1999-01-01T00:00:00Z,0.1833441,0.59102523,-0.22511302,Sacramento - San Joaquin
2000-01-01T00:00:00Z,-0.11442051,0.24100958,-0.4710326,Sacramento - San Joaquin
2001-01-01T00:00:00Z,-0.6206931,-0.26504457,-0.97686344,Sacramento - San Joaquin
2002-01-01T00:00:00Z,0.06503251,0.42194572,-0.29196462,Sacramento - San Joaquin
2003-01-01T00:00:00Z,-0.5602555,-0.18931276,-0.9310592,Sacramento - San Joaquin
2004-01-01T00:00:00Z,-0.18168311,0.17467727,-0.5383093,Sacramento - San Joaquin
2005-01-01T00:00:00Z,0.6844888,1.0396053,0.3287368,Sacramento - San Joaquin
2006-01-01T00:00:00Z,0.6933882,1.1118085,0.27507782,Sacramento - San Joaquin
2007-01-01T00:00:00Z,-0.9888998,-0.6314555,-1.3463275,Sacramento - San Joaquin
2008-01-01T00:00:00Z,0.13591999,0.49873894,-0.22751984,Sacramento - San Joaquin
2009-01-01T00:00:00Z,-0.28405154,0.08334738,-0.6521462,Sacramento - San Joaquin
2010-01-01T00:00:00Z,0.1648684,0.53502667,-0.20563677,Sacramento - San Joaquin
2011-01-01T00:00:00Z,1.2774938,1.6366696,0.91755253,Sacramento - San Joaquin
2012-01-01T00:00:00Z,-0.73510253,-0.37023547,-1.1002469,Sacramento - San Joaquin
2013-01-01T00:00:00Z,-0.9365347,-0.5683017,-1.3044713,Sacramento - San Joaquin
2014-01-01T00:00:00Z,-1.2305536,-0.8679552,-1.5928143,Sacramento - San Joaquin
2015-01-01T00:00:00Z,-1.6848142,-1.3255463,-2.043939,Sacramento - San Joaquin
2016-01-01T00:00:00Z,-0.14497788,0.22371082,-0.51410156,Sacramento - San Joaquin
2017-01-01T00:00:00Z,0.51094717,0.8739574,0.1458558,Sacramento - San Joaquin
2018-01-01T00:00:00Z,-0.8705984,-0.5058282,-1.2355826,Sacramento - San Joaquin
2019-01-01T00:00:00Z,1.2688985,1.6275126,0.90991336,Sacramento - San Joaquin
2020-01-01T00:00:00Z,-0.77614397,-0.3837122,-1.1683019,Sacramento - San Joaquin
1981-01-01T00:00:00Z,-2.1878934,-1.4199727,-2.9575226,Salish Sea & WA Coast
1982-01-01T00:00:00Z,0.51109636,1.2343943,-0.21327797,Salish Sea & WA Coast
1983-01-01T00:00:00Z,-0.8543492,-0.15581706,-1.558977,Salish Sea & WA Coast
1984-01-01T00:00:00Z,-0.5059142,0.15182017,-1.1522665,Salish Sea & WA Coast
1985-01-01T00:00:00Z,0.6611194,1.3221499,0.014137241,Salish Sea & WA Coast
1986-01-01T00:00:00Z,-0.5394433,0.10811846,-1.1908007,Salish Sea & WA Coast
1987-01-01T00:00:00Z,0.01502402,0.66524863,-0.63328356,Salish Sea & WA Coast
1988-01-01T00:00:00Z,0.3853492,1.0370816,-0.26212057,Salish Sea & WA Coast
1989-01-01T00:00:00Z,1.0543282,1.6050258,0.507804,Salish Sea & WA Coast
1990-01-01T00:00:00Z,0.7147022,1.1586796,0.26948485,Salish Sea & WA Coast
1991-01-01T00:00:00Z,-0.057578173,0.38580814,-0.5020838,Salish Sea & WA Coast
