time,encounter_rate,species_cohort
2004-01-01T00:00:00Z,0.619,Sooty shearwater encounter rate (Ce/So CC) North
2005-01-01T00:00:00Z,0.691,Sooty shearwater encounter rate (Ce/So CC) North
2006-01-01T00:00:00Z,0.87,Sooty shearwater encounter rate (Ce/So CC) North
2007-01-01T00:00:00Z,0.652,Sooty shearwater encounter rate (Ce/So CC) North
2008-01-01T00:00:00Z,0.553,Sooty shearwater encounter rate (Ce/So CC) North
2009-01-01T00:00:00Z,1.528,Sooty shearwater encounter rate (Ce/So CC) North
2010-01-01T00:00:00Z,0.569,Sooty shearwater encounter rate (Ce/So CC) North
2011-01-01T00:00:00Z,3.478,Sooty shearwater encounter rate (Ce/So CC) North
2012-01-01T00:00:00Z,1.899,Sooty shearwater encounter rate (Ce/So CC) North
2013-01-01T00:00:00Z,1.501,Sooty shearwater encounter rate (Ce/So CC) North
2014-01-01T00:00:00Z,1.117,Sooty shearwater encounter rate (Ce/So CC) North
2015-01-01T00:00:00Z,1.238,Sooty shearwater encounter rate (Ce/So CC) North
2016-01-01T00:00:00Z,0.188,Sooty shearwater encounter rate (Ce/So CC) North
2017-01-01T00:00:00Z,1.054,Sooty shearwater encounter rate (Ce/So CC) North
2018-01-01T00:00:00Z,0.78,Sooty shearwater encounter rate (Ce/So CC) North
1997-01-01T00:00:00Z,1.237,Northern fulmar encounter rate (Ce/So CC) North
1998-01-01T00:00:00Z,0.332,Northern fulmar encounter rate (Ce/So CC) North
1999-01-01T00:00:00Z,0.501,Northern fulmar encounter rate (Ce/So CC) North
2000-01-01T00:00:00Z,1.574,Northern fulmar encounter rate (Ce/So CC) North
2001-01-01T00:00:00Z,0.3,Northern fulmar encounter rate (Ce/So CC) North
2002-01-01T00:00:00Z,0.609,Northern fulmar encounter rate (Ce/So CC) North
2003-01-01T00:00:00Z,11.695,Northern fulmar encounter rate (Ce/So CC) North
2004-01-01T00:00:00Z,0.98,Northern fulmar encounter rate (Ce/So CC) North
2005-01-01T00:00:00Z,1.633,Northern fulmar encounter rate (Ce/So CC) North
2006-01-01T00:00:00Z,0.343,Northern fulmar encounter rate (Ce/So CC) North
2007-01-01T00:00:00Z,3.785,Northern fulmar encounter rate (Ce/So CC) North
2008-01-01T00:00:00Z,0.285,Northern fulmar encounter rate (Ce/So CC) North
2009-01-01T00:00:00Z,2.772,Northern fulmar encounter rate (Ce/So CC) North
2010-01-01T00:00:00Z,12.892,Northern fulmar encounter rate (Ce/So CC) North
2011-01-01T00:00:00Z,1.163,Northern fulmar encounter rate (Ce/So CC) North
2012-01-01T00:00:00Z,2.102,Northern fulmar encounter rate (Ce/So CC) North
2013-01-01T00:00:00Z,7.175,Northern fulmar encounter rate (Ce/So CC) North
2014-01-01T00:00:00Z,0.745,Northern fulmar encounter rate (Ce/So CC) North
2015-01-01T00:00:00Z,2.006,Northern fulmar encounter rate (Ce/So CC) North
2016-01-01T00:00:00Z,0.332,Northern fulmar encounter rate (Ce/So CC) North
2017-01-01T00:00:00Z,0.187,Northern fulmar encounter rate (Ce/So CC) North
2018-01-01T00:00:00Z,1.732,Northern fulmar encounter rate (Ce/So CC) North
1997-01-01T00:00:00Z,0.81,Brandts cormorant encounter rate (Ce/So CC) North
1998-01-01T00:00:00Z,0.825,Brandts cormorant encounter rate (Ce/So CC) North
1999-01-01T00:00:00Z,0.249,Brandts cormorant encounter rate (Ce/So CC) North
2000-01-01T00:00:00Z,0.806,Brandts cormorant encounter rate (Ce/So CC) North
2001-01-01T00:00:00Z,1.125,Brandts cormorant encounter rate (Ce/So CC) North
2002-01-01T00:00:00Z,1.317,Brandts cormorant encounter rate (Ce/So CC) North
2003-01-01T00:00:00Z,0.793,Brandts cormorant encounter rate (Ce/So CC) North
2004-01-01T00:00:00Z,1.248,Brandts cormorant encounter rate (Ce/So CC) North
2005-01-01T00:00:00Z,5.346,Brandts cormorant encounter rate (Ce/So CC) North
2006-01-01T00:00:00Z,1.651,Brandts cormorant encounter rate (Ce/So CC) North
2007-01-01T00:00:00Z,7.482,Brandts cormorant encounter rate (Ce/So CC) North
2008-01-01T00:00:00Z,2.823,Brandts cormorant encounter rate (Ce/So CC) North
