time,hci_regn1,hci_regn2,hci_regn3,hci_regn4
1993-05-01T00:00:00Z,0.4191344,0.0,0.0,0.38019168
1993-06-01T00:00:00Z,0.009111618,0.0,0.033842795,0.34984025
1993-07-01T00:00:00Z,0.12414578,0.24210526,0.3242358,0.34265175
1993-08-01T00:00:00Z,0.07403189,0.07969925,0.18995634,0.5415335
1993-09-01T00:00:00Z,0.4851936,0.39849624,0.30895197,0.5151757
1993-10-01T00:00:00Z,0.32915717,0.20451128,0.16703057,0.34904152
1993-11-01T00:00:00Z,0.40888384,0.84360904,0.18231441,0.3107029
1993-12-01T00:00:00Z,0.546697,0.69473684,0.20305677,0.34824282
1994-01-01T00:00:00Z,0.2164009,0.1518797,0.08733624,0.37300318
1994-02-01T00:00:00Z,0.4738041,0.70827067,0.2849345,0.33466452
1994-03-01T00:00:00Z,0.11731207,0.007518797,0.041484717,0.3043131
1994-04-01T00:00:00Z,0.31776765,0.16240601,0.14628822,0.43051118
1994-05-01T00:00:00Z,0.06492028,0.07067669,0.23253275,0.5079872
1994-06-01T00:00:00Z,0.035307515,0.06315789,0.29803494,0.43051118
1994-07-01T00:00:00Z,0.41571754,0.34887218,0.5,0.51677316
1994-08-01T00:00:00Z,0.019362187,0.0060150377,0.30567685,0.42971247
1994-09-01T00:00:00Z,0.045558088,0.013533834,0.06441048,0.44169328
1994-10-01T00:00:00Z,0.21981777,0.23909774,0.37772927,0.456869
1994-11-01T00:00:00Z,0.6640091,0.83157897,0.77729255,0.74121404
1994-12-01T00:00:00Z,0.92938495,0.97593987,0.62554586,0.7348243
1995-01-01T00:00:00Z,0.48974943,0.6887218,0.7805677,0.735623
1995-02-01T00:00:00Z,0.25854215,0.6932331,0.03275109,0.1557508
1995-03-01T00:00:00Z,0.13553531,0.08421053,0.02183406,0.2284345
1995-04-01T00:00:00Z,0.066059224,0.10526316,0.06441048,0.45926517
1995-05-01T00:00:00Z,0.41116172,0.24812031,0.09716157,0.6285942
1995-06-01T00:00:00Z,0.6218679,0.17894737,0.15393013,0.5551118
1995-07-01T00:00:00Z,0.07289294,0.061654136,0.027292576,0.46645367
1995-08-01T00:00:00Z,0.14009112,0.0030075188,0.12117904,0.42492014
1995-09-01T00:00:00Z,0.0261959,0.0015037594,0.029475983,0.4313099
1995-10-01T00:00:00Z,0.006833713,0.0,0.12117904,0.32747602
1995-11-01T00:00:00Z,0.19703873,0.17593984,0.2161572,0.38019168
1995-12-01T00:00:00Z,0.004555809,0.0,0.0021834061,0.38498402
1996-01-01T00:00:00Z,0.045558088,0.0,0.02183406,0.41533548
1996-02-01T00:00:00Z,0.17881548,0.04962406,0.0,0.23722045
1996-03-01T00:00:00Z,0.02164009,0.0,0.029475983,0.29233226
1996-04-01T00:00:00Z,0.15375854,0.05263158,0.0021834061,0.34664536
1996-05-01T00:00:00Z,0.4476082,0.082706764,0.15065502,0.38178915
1996-06-01T00:00:00Z,0.24373576,0.2661654,0.5349345,0.42571884
1996-07-01T00:00:00Z,0.37927106,0.4481203,0.4661572,0.4169329
1996-08-01T00:00:00Z,0.33940774,0.2932331,0.6037118,0.43290734
1996-09-01T00:00:00Z,0.17312072,0.1593985,0.44323143,0.428115
1996-10-01T00:00:00Z,0.24031891,0.22857143,0.47379914,0.48722044
1996-11-01T00:00:00Z,0.4214123,0.44210526,0.45960698,0.66773164
1996-12-01T00:00:00Z,0.56719816,0.6706767,0.17576419,0.571885
1997-01-01T00:00:00Z,0.38952163,0.37293234,0.30676857,0.54472846
1997-02-01T00:00:00Z,0.48291573,0.12330827,0.2849345,0.4640575
1997-03-01T00:00:00Z,0.56719816,0.24360903,0.6299127,0.41453674
1997-04-01T00:00:00Z,0.22095671,0.46917292,0.1812227,0.41054314
1997-05-01T00:00:00Z,0.06492028,0.0,0.0,0.3546326
1997-06-01T00:00:00Z,0.0,0.0030075188,0.051310044,0.37300318
1997-07-01T00:00:00Z,0.037585422,0.040601503,0.17248908,0.39297125
1997-08-01T00:00:00Z,0.007972665,0.0,0.0021834061,0.3043131
1997-09-01T00:00:00Z,0.0,0.0,0.0,0.20846646
1997-10-01T00:00:00Z,0.0,0.0,0.052401748,0.1086262
1997-11-01T00:00:00Z,0.0,0.0,0.0,0.0
1997-12-01T00:00:00Z,0.0022779044,0.0,0.0,0.0
1998-01-01T00:00:00Z,0.0,0.0,0.0,0.048722044
1998-02-01T00:00:00Z,0.0,0.0,0.0,0.059904154
1998-03-01T00:00:00Z,0.0,0.0,0.0,0.18370607
1998-04-01T00:00:00Z,0.0,0.039097745,0.07641921,0.38019168
1998-05-01T00:00:00Z,0.08428246,0.0,0.0043668123,0.4464856
1998-06-01T00:00:00Z,0.22209567,0.23007518,0.0065502184,0.41214058
1998-07-01T00:00:00Z,0.17539863,0.26466164,0.19868995,0.4456869
1998-08-01T00:00:00Z,0.08769932,0.24812031,0.23689957,0.38738018
1998-09-01T00:00:00Z,0.1856492,0.43909773,0.24126637,0.37859425
1998-10-01T00:00:00Z,0.06492028,0.19097744,0.3930131,0.44009584
1998-11-01T00:00:00Z,0.0022779044,0.41353384,0.37008733,0.6285942
1998-12-01T00:00:00Z,0.25284737,0.8947368,0.5862445,0.8618211
1999-01-01T00:00:00Z,0.57972664,0.9804511,0.97925764,0.7995208
1999-02-01T00:00:00Z,0.9988611,1.0,0.98689955,0.71805114
1999-03-01T00:00:00Z,1.0,0.97894734,0.9967249,0.8410543
1999-04-01T00:00:00Z,1.0,1.0,0.8668122,0.7907348
1999-05-01T00:00:00Z,1.0,1.0,0.9847162,0.88897765
1999-06-01T00:00:00Z,0.8826879,0.6,0.71834064,0.8011182
