time,vwnd
2018-05-01T00:00:00Z,-3.298093
2018-06-01T00:00:00Z,-2.563441
2018-07-01T00:00:00Z,-3.672149
2018-08-01T00:00:00Z,-2.29243
2018-09-01T00:00:00Z,-0.827403
2018-10-01T00:00:00Z,-0.136755
2018-11-01T00:00:00Z,1.139071
2018-12-01T00:00:00Z,3.633785
2019-01-01T00:00:00Z,2.166371
2019-02-01T00:00:00Z,0.101591
2019-03-01T00:00:00Z,-0.195299
2019-04-01T00:00:00Z,-0.961204
2019-05-01T00:00:00Z,-3.032534
2019-06-01T00:00:00Z,-4.5138
2019-07-01T00:00:00Z,-2.810832
2019-08-01T00:00:00Z,-2.032344
2019-09-01T00:00:00Z,-0.239176
2019-10-01T00:00:00Z,-1.332197
2019-11-01T00:00:00Z,-1.482444
2019-12-01T00:00:00Z,3.092583
2020-01-01T00:00:00Z,5.85148
2020-02-01T00:00:00Z,-1.545319
2020-03-01T00:00:00Z,-0.850943
2020-04-01T00:00:00Z,-2.112106
2020-05-01T00:00:00Z,-0.288617
2020-06-01T00:00:00Z,-2.886012
2020-07-01T00:00:00Z,-4.43303
2020-08-01T00:00:00Z,-3.205938
2020-09-01T00:00:00Z,0.255175
2020-10-01T00:00:00Z,-2.688521
2020-11-01T00:00:00Z,2.233632
2020-12-01T00:00:00Z,3.1987
2021-01-01T00:00:00Z,3.766368
2021-02-01T00:00:00Z,6.575934
