time,species_group,relative_stock_status
1961-01-01T00:00:00Z,English sole,0.269175
1962-01-01T00:00:00Z,English sole,0.26934
1963-01-01T00:00:00Z,English sole,0.259338
1964-01-01T00:00:00Z,English sole,0.249367
1965-01-01T00:00:00Z,English sole,0.235549
1966-01-01T00:00:00Z,English sole,0.21785
1967-01-01T00:00:00Z,English sole,0.190959
1968-01-01T00:00:00Z,English sole,0.1762
1969-01-01T00:00:00Z,English sole,0.16017
1970-01-01T00:00:00Z,English sole,0.173466
1971-01-01T00:00:00Z,English sole,0.197234
1972-01-01T00:00:00Z,English sole,0.224006
1973-01-01T00:00:00Z,English sole,0.236669
1974-01-01T00:00:00Z,English sole,0.234993
1975-01-01T00:00:00Z,English sole,0.230872
1976-01-01T00:00:00Z,English sole,0.214369
1977-01-01T00:00:00Z,English sole,0.182489
1978-01-01T00:00:00Z,English sole,0.194489
1979-01-01T00:00:00Z,English sole,0.188622
1980-01-01T00:00:00Z,English sole,0.178283
1981-01-01T00:00:00Z,English sole,0.178372
1982-01-01T00:00:00Z,English sole,0.185132
1983-01-01T00:00:00Z,English sole,0.190278
1984-01-01T00:00:00Z,English sole,0.209262
1985-01-01T00:00:00Z,English sole,0.244849
1986-01-01T00:00:00Z,English sole,0.265105
1987-01-01T00:00:00Z,English sole,0.276134
1988-01-01T00:00:00Z,English sole,0.266928
1989-01-01T00:00:00Z,English sole,0.273917
1990-01-01T00:00:00Z,English sole,0.272936
1991-01-01T00:00:00Z,English sole,0.295009
1992-01-01T00:00:00Z,English sole,0.306671
1993-01-01T00:00:00Z,English sole,0.332932
1994-01-01T00:00:00Z,English sole,0.359111
1995-01-01T00:00:00Z,English sole,0.398126
1996-01-01T00:00:00Z,English sole,0.439076
1997-01-01T00:00:00Z,English sole,0.48031
1998-01-01T00:00:00Z,English sole,0.506204
1999-01-01T00:00:00Z,English sole,0.541465
2000-01-01T00:00:00Z,English sole,0.5792
2001-01-01T00:00:00Z,English sole,0.61859
2002-01-01T00:00:00Z,English sole,0.641766
2003-01-01T00:00:00Z,English sole,0.651199
2004-01-01T00:00:00Z,English sole,0.675658
2005-01-01T00:00:00Z,English sole,0.694745
2006-01-01T00:00:00Z,English sole,0.71363
2007-01-01T00:00:00Z,English sole,0.730948
2008-01-01T00:00:00Z,English sole,0.753301
2009-01-01T00:00:00Z,English sole,0.783837
2010-01-01T00:00:00Z,English sole,0.810166
2011-01-01T00:00:00Z,English sole,0.836938
2012-01-01T00:00:00Z,English sole,0.860468
2013-01-01T00:00:00Z,English sole,0.879429
1896-01-01T00:00:00Z,Rex sole,1.0
1897-01-01T00:00:00Z,Rex sole,1.0
1898-01-01T00:00:00Z,Rex sole,1.0
1899-01-01T00:00:00Z,Rex sole,1.0
1900-01-01T00:00:00Z,Rex sole,1.0
1901-01-01T00:00:00Z,Rex sole,1.0
1902-01-01T00:00:00Z,Rex sole,1.0
1903-01-01T00:00:00Z,Rex sole,1.0
1904-01-01T00:00:00Z,Rex sole,1.0
1905-01-01T00:00:00Z,Rex sole,1.0
1906-01-01T00:00:00Z,Rex sole,1.0
1907-01-01T00:00:00Z,Rex sole,1.0
1908-01-01T00:00:00Z,Rex sole,1.0
1909-01-01T00:00:00Z,Rex sole,1.0
1910-01-01T00:00:00Z,Rex sole,1.0
1911-01-01T00:00:00Z,Rex sole,1.0
1912-01-01T00:00:00Z,Rex sole,1.0
1913-01-01T00:00:00Z,Rex sole,1.0
1914-01-01T00:00:00Z,Rex sole,1.0
