time,population,abundance_anomaly
2018-01-01T00:00:00Z,Central Valley Win,-0.6620978
2019-01-01T00:00:00Z,Central Valley Win,-1.0370297
1991-01-01T00:00:00Z,California Coast,-0.80691934
1992-01-01T00:00:00Z,California Coast,-0.52919364
1993-01-01T00:00:00Z,California Coast,-0.64280874
1994-01-01T00:00:00Z,California Coast,-1.210884
1995-01-01T00:00:00Z,California Coast,0.001009912
1996-01-01T00:00:00Z,California Coast,0.1335608
1997-01-01T00:00:00Z,California Coast,-0.67436844
1998-01-01T00:00:00Z,California Coast,-0.6806804
1999-01-01T00:00:00Z,California Coast,-0.49132198
2000-01-01T00:00:00Z,California Coast,-0.98996586
2001-01-01T00:00:00Z,California Coast,0.28504753
2002-01-01T00:00:00Z,California Coast,2.3743021
2003-01-01T00:00:00Z,California Coast,0.15249665
2004-01-01T00:00:00Z,California Coast,0.64482856
2005-01-01T00:00:00Z,California Coast,1.5789968
2006-01-01T00:00:00Z,California Coast,-0.5607534
2007-01-01T00:00:00Z,California Coast,-0.37770694
2008-01-01T00:00:00Z,California Coast,-0.36508304
2009-01-01T00:00:00Z,California Coast,0.42391038
2010-01-01T00:00:00Z,California Coast,1.6231804
2011-01-01T00:00:00Z,California Coast,-0.18203656
2012-01-01T00:00:00Z,California Coast,1.799915
2013-01-01T00:00:00Z,California Coast,-1.6716561
2014-01-01T00:00:00Z,California Coast,0.75213164
2015-01-01T00:00:00Z,California Coast,-0.5860012
2016-01-01T00:00:00Z,California Coast,NaN
2017-01-01T00:00:00Z,California Coast,NaN
2018-01-01T00:00:00Z,California Coast,NaN
2019-01-01T00:00:00Z,California Coast,NaN
1978-01-01T00:00:00Z,Klamath Fall,-0.027697342
1979-01-01T00:00:00Z,Klamath Fall,-0.80089355
1980-01-01T00:00:00Z,Klamath Fall,-0.93140864
1981-01-01T00:00:00Z,Klamath Fall,-0.7175627
1982-01-01T00:00:00Z,Klamath Fall,-0.63275594
1983-01-01T00:00:00Z,Klamath Fall,-0.5852184
1984-01-01T00:00:00Z,Klamath Fall,-1.0235736
1985-01-01T00:00:00Z,Klamath Fall,-0.51117885
1986-01-01T00:00:00Z,Klamath Fall,1.5266769
1987-01-01T00:00:00Z,Klamath Fall,1.2063445
1988-01-01T00:00:00Z,Klamath Fall,0.8322803
1989-01-01T00:00:00Z,Klamath Fall,-0.14434816
1990-01-01T00:00:00Z,Klamath Fall,-1.0214326
1991-01-01T00:00:00Z,Klamath Fall,-1.136379
1992-01-01T00:00:00Z,Klamath Fall,-1.1102927
1993-01-01T00:00:00Z,Klamath Fall,-0.60908073
1994-01-01T00:00:00Z,Klamath Fall,-0.4863604
1995-01-01T00:00:00Z,Klamath Fall,2.636689
1996-01-01T00:00:00Z,Klamath Fall,0.5935535
1997-01-01T00:00:00Z,Klamath Fall,-0.16623577
1998-01-01T00:00:00Z,Klamath Fall,-0.022791855
1999-01-01T00:00:00Z,Klamath Fall,-0.83184385
2000-01-01T00:00:00Z,Klamath Fall,2.2352288
2001-01-01T00:00:00Z,Klamath Fall,1.2501197
2002-01-01T00:00:00Z,Klamath Fall,0.4160206
2003-01-01T00:00:00Z,Klamath Fall,1.5926307
2004-01-01T00:00:00Z,Klamath Fall,-0.5402376
2005-01-01T00:00:00Z,Klamath Fall,-0.38070536
2006-01-01T00:00:00Z,Klamath Fall,-0.48054034
2007-01-01T00:00:00Z,Klamath Fall,0.4763373
2008-01-01T00:00:00Z,Klamath Fall,-0.59035254
2009-01-01T00:00:00Z,Klamath Fall,-0.1825112
2010-01-01T00:00:00Z,Klamath Fall,-0.36430523
2011-01-01T00:00:00Z,Klamath Fall,-0.07698086
